title,release_date,libsyn_page,download_link
"#128: March 3, 2015","Feb 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-3-2015,https://traffic.libsyn.com/secure/knowledgefight/3-3-15.mp3
#129: David Rothschild Interview,"Feb 14, 2018",https://knowledgefight.libsyn.com/knowledge-fight-david-rothschild-interview,https://traffic.libsyn.com/secure/knowledgefight/DRothschild.mp3
"#130A: Endgame, Part 1","Feb 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-endgame-part-1,https://traffic.libsyn.com/secure/knowledgefight/Episode1a.mp3
"#130B: Endgame, Part 2","Feb 20, 2018",https://knowledgefight.libsyn.com/knowledge-fight-endgame-part-2,https://traffic.libsyn.com/secure/knowledgefight/Episode2.mp3
"#130C: Endgame, Part 3","Feb 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-endgame-part-3,https://traffic.libsyn.com/secure/knowledgefight/Episode3.mp3
"#130D: Endgame, Part 4","Feb 22, 2018",https://knowledgefight.libsyn.com/knowledge-fight-endgame-part-4,https://traffic.libsyn.com/secure/knowledgefight/Episode4.mp3
"#130E: Endgame, Part 5","Feb 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-endgame-part-5,https://traffic.libsyn.com/secure/knowledgefight/Episode5.mp3
#131: David Lynch Interview,"Feb 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-david-lynch-interview,https://traffic.libsyn.com/secure/knowledgefight/DavidLynch.mp3
#132: Minisode,"Feb 28, 2018",https://knowledgefight.libsyn.com/knowledge-fight-minisode,https://traffic.libsyn.com/secure/knowledgefight/Mini.mp3
#133: Operation Paul Revere,"Mar 5, 2018",https://knowledgefight.libsyn.com/knowledge-fight-operation-paul-revere,https://traffic.libsyn.com/secure/knowledgefight/Marathon3-18.mp3
#134: Post-Tribulation Rapture?,"Mar 7, 2018",https://knowledgefight.libsyn.com/knowledge-fight-post-tribulation-rapture,https://traffic.libsyn.com/secure/knowledgefight/SteveAnderson.mp3
#135: The Wikileaks Press Conference,"Mar 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-the-wikileaks-press-conference,https://traffic.libsyn.com/secure/knowledgefight/Wikileaks.mp3
"#136: March 30-31, 2008","Mar 12, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-30-31-2008,https://traffic.libsyn.com/secure/knowledgefight/2008-01.mp3
"#137: March 12, 2018","Mar 13, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-12-2018,https://traffic.libsyn.com/secure/knowledgefight/3-12-18.mp3
"#138: March 13-15, 2018","Mar 16, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-13-15-2018,https://traffic.libsyn.com/secure/knowledgefight/3-13-18.mp3
#139: St. Patrick's Day Special Report,"Mar 19, 2018",https://knowledgefight.libsyn.com/knowledge-fight-st-patricks-day-special-report,https://traffic.libsyn.com/secure/knowledgefight/3-17-18.mp3
"#140: February 18, 2011","Mar 21, 2018",https://knowledgefight.libsyn.com/knowledge-fight-february-18-2011,https://traffic.libsyn.com/secure/knowledgefight/CharlieSheen.mp3
"#141: March 20-22, 2018","Mar 23, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-20-23,https://traffic.libsyn.com/secure/knowledgefight/weekI.mp3
"#142: March 23, 2018","Mar 26, 2018",https://knowledgefight.libsyn.com/knowledge-fight-march-23-2018,https://traffic.libsyn.com/secure/knowledgefight/3-23-18.mp3
#143: March 25-31 Part 1,"Apr 2, 2018",https://knowledgefight.libsyn.com/knowledge-fight-mar-25-31-part-1,https://traffic.libsyn.com/secure/knowledgefight/Rex1.mp3
"#144: March 25-31, Part 2","Apr 2, 2018",https://knowledgefight.libsyn.com/knowledge-fight-mar-25-31-part-2,https://traffic.libsyn.com/secure/knowledgefight/Week-1.mp3
"#145: April 2, 2018","Apr 4, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-2-the-drops-bracket,https://traffic.libsyn.com/secure/knowledgefight/4-2-18.mp3
"#146: April 4, 2018","Apr 6, 2018",https://knowledgefight.libsyn.com/knowledge-fight-april-4-2018,https://traffic.libsyn.com/secure/knowledgefight/4-4-18.mp3
#147: Aaron Russo,"Apr 9, 2018",https://knowledgefight.libsyn.com/knowledge-fight-aaron-russo,https://traffic.libsyn.com/secure/knowledgefight/AaronRusso.mp3
